Model species,Formula,Name,Savannah (SAV),Tropical (DEFO),Temperate (TEMP),Permar2021,Boreal (BORF),Hayden2022,Peatland (PET),Crop residue (AGW),Biofuels (without dung) ,Dung,Charcoal making,Charcoal burning,Garbage burning
CO,CO,Carbon monoxide,6.90E+01,1.04E+02,1.13E+02,9.93E+01,1.21E+02,1.16E+02,2.60E+02,7.60E+01,8.30E+01,8.90E+01,9.30E+01,2.07E+02,6.60E+01
RCHO,C3H6O,Lumped C >= 3 aldehdyes,4.59E-01,4.91E-01,6.31E-01,0.00E+00,8.63E-01,0.00E+00,1.36E+00,7.87E-01,3.25E-01,5.24E-01,0.00E+00,1.33E+00,4.29E-01
GLYX,C2H2O2,Glyoxal,3.34E-01,5.03E-01,5.44E-01,5.36E-03,5.85E-01,0.00E+00,1.25E+00,2.36E-01,5.75E-01,4.29E-01,0.00E+00,1.00E+00,3.17E-01
ACTA,C2H4O2,Acetic acid,2.31E+00,3.28E+00,2.74E+00,2.44E+00,3.80E+00,1.30E+00,4.91E+00,6.06E+00,3.95E+00,1.08E+01,4.68E+01,1.85E+00,1.13E+00
ISOP,C5H8,Isoprene,1.01E-01,2.18E-01,9.51E-02,8.20E-02,7.40E-02,1.90E-01,5.18E-01,1.75E-01,5.81E-02,2.01E-01,0.00E+00,1.17E-01,9.60E-02
MTPA,C10H16,Monoterpenes,1.04E-01,1.50E-01,1.17E+00,2.06E-01,1.53E+00,4.10E-01,8.20E-02,2.65E-02,1.00E-01,1.19E-01,0.00E+00,0.00E+00,9.20E-02
MACR,C4H6O,Methacrolein,1.00E-01,1.50E-01,1.42E-01,3.94E-01,1.07E-01,0.00E+00,3.94E-01,2.80E-01,2.80E-02,1.35E-01,0.00E+00,3.15E-01,9.96E-02
MVK,C4H6O,Methyl vinyl ketone,2.27E-01,3.90E-01,1.65E-01,1.99E-01,9.90E-02,0.00E+00,5.70E-02,4.75E-01,5.80E-02,2.05E-01,2.53E-01,5.61E-01,1.78E-01
ACET,C3H6O,Acetone,4.69E-01,6.30E-01,7.62E-01,6.60E-01,1.59E+00,8.20E-01,9.06E-01,7.10E-01,3.46E-01,1.46E+00,2.64E-01,1.60E+00,1.39E+00
GLYC,C2H4O2,Glycolaldehyde,1.32E-01,3.27E-01,3.90E-01,0.00E+00,3.80E-01,0.00E+00,1.08E-01,3.18E+00,3.33E-01,4.99E-01,0.00E+00,6.50E-01,2.41E+00
DMS,C2H6S,Dimethyl sulfide,8.35E-03,2.20E-03,1.44E-02,8.01E-02,2.30E-03,6.70E-03,4.54E-02,4.65E-02,1.19E-01,2.53E-02,0.00E+00,0.00E+00,2.87E-02
MGLY,C3H4O2,methylglyoxal,3.95E-01,4.92E-01,2.70E-01,2.17E-01,5.73E-01,0.00E+00,2.29E-01,5.54E-01,3.86E-01,4.20E-01,0.00E+00,9.80E-01,3.10E-01
HAC,C3H6O2,Hydroxyacetone,5.56E-01,1.81E+00,1.13E+00,5.65E-01,2.11E+00,3.20E-01,6.39E-01,3.12E+00,8.70E-01,6.40E+00,9.38E+00,3.60E+00,1.13E+00
PHEN ,C6H6O,Phenol,4.32E-01,2.28E-01,2.52E-01,3.32E-01,7.52E-01,1.20E-01,4.66E-01,8.85E-01,7.21E-01,1.58E+00,4.67E+00,2.00E+00,2.96E-01
BALD,C7H6O,benzaldehyde,1.02E-01,2.73E-02,1.32E-01,8.43E-02,9.57E-02,3.60E-02,5.60E-02,3.80E-02,4.42E-02,7.02E-02,0.00E+00,1.64E-01,1.50E-01
CSL ,C7H8O,o-cresol,4.76E-01,2.51E-01,2.28E-01,2.28E-01,8.29E-01,4.00E-02,5.13E-01,9.75E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FURAN,C4H4O,Furan,2.90E-01,3.30E-01,4.10E-01,4.32E-01,3.60E-01,3.90E-01,1.07E+00,9.00E-01,1.99E-01,4.93E-01,8.02E-01,3.93E-01,2.13E-01
M2FURAN,C5H6O,2-methylfuran,2.00E-01,2.80E-01,3.40E-01,2.78E-01,4.20E-01,3.00E-01,3.10E-01,5.30E-01,1.65E-01,3.03E-01,0,7.25E-01,2.29E-01
M3F,C5H6O,3-methylfuran,1.00E-02,5.50E-02,3.40E-02,0.00E+00,0.00E+00,0.00E+00,1.10E-01,7.60E-02,1.30E-02,3.79E-02,0,8.83E-02,2.80E-02
DIMEFURAN,C6H8O,"2,5-dimethylfuran",7.10E-02,1.09E-01,8.10E-02,2.01E-01,1.12E-01,8.70E-02,1.66E-01,1.00E-01,3.77E-02,8.12E-02,0.00E+00,1.89E-01,5.99E-02
FURFURAL,C5H4O2,2-furfural ,7.30E-01,7.70E-01,5.20E-01,5.33E-01,6.10E-01,6.50E-01,1.10E+00,1.03E+00,2.77E-01,2.01E-01,1.59E+00,1.54E+00,4.86E-01
MEFURFURAL,C6H6O2,5-methylfurfural,3.51E-01,3.70E-01,2.50E-01,2.50E-01,2.93E-01,1.10E-01,5.29E-01,4.95E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ACR,C3H4O,Acrolein,4.80E-01,6.50E-01,3.40E-01,4.03E-01,3.30E-01,2.80E-01,2.70E-01,6.20E-01,8.54E-02,2.41E-01,0.00E+00,0.00E+00,3.64E-01
C4H6,C4H6,"1,3-Butadiene",9.50E-02,1.50E-01,1.25E-01,2.67E-01,8.90E-02,5.50E-02,2.20E-01,1.60E-01,1.47E-01,2.96E-01,0.00E+00,1.13E-01,2.04E-01
HCN,HCN,HCN,4.40E-01,4.40E-01,6.40E-01,4.34E-01,5.30E-01,3.10E-01,4.40E+00,4.20E-01,3.89E-01,1.27E+00,9.00E-02,0.00E+00,4.32E-01
CH3CN,CH3CN,Acetonitrile,1.70E-01,3.10E-01,4.90E-01,3.06E-01,2.20E-01,4.40E-01,6.00E-01,2.50E-01,9.95E-02,0.00E+00,0.00E+00,0.00E+00,5.75E-01